Country,lat,lon,Year_2017,Year_2016,Year_2015,Year_2014,Year_2013,Year_2012,Year_2011,Year_2010,Year_2009,Year_2008,Year_2007,Year_2006,Year_2005,Year_2004,Year_2003,Year_2002,Year_2001,Year_2000,2017_Country_Population,Per_Population_2017,
Afghanistan,33.94,67.71,161778.00,139087.00,86895.00,61362.00,39263.00,54840.00,77549.00,69397.00,64880.00,81574.00,92202.00,86129.00,116444.00,242022.00,360940.00,415356.00,50850.00,94475.00,36296111.00,0.45,
Algeria,28.03,1.66,0.00,0.00,0.00,0.00,8.00,55.00,1.00,1.00,0.00,3.00,288.00,117.00,299.00,163.00,427.00,307.00,435.00,541.00,41389174.00,0.00,
Angola,-11.20,17.87,3874892.00,3794253.00,2769305.00,2298979.00,1999868.00,1496834.00,1632282.00,1682870.00,1573422.00,1377992.00,1533485.00,1082398.00,889572.00,,,,,,29816769.00,13.00,
Argentina,-38.42,-63.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,86.00,130.00,387.00,212.00,252.00,115.00,122.00,125.00,215.00,440.00,43937143.00,0.00,
Armenia,40.07,45.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,47.00,29.00,52.00,79.00,141.00,2944789.00,0.00,
Azerbaijan,40.14,47.58,0.00,0.00,0.00,0.00,0.00,3.00,4.00,50.00,78.00,72.00,108.00,143.00,242.00,386.00,482.00,506.00,1058.00,1526.00,9845316.00,0.00,
Bangladesh,23.68,90.36,4893.00,4787.00,6608.00,10216.00,3864.00,9901.00,51773.00,55873.00,63873.00,84690.00,59866.00,32857.00,48121.00,58894.00,54654.00,62269.00,54216.00,55599.00,159685421.00,0.00,
Belize,17.19,-88.50,7.00,4.00,9.00,19.00,20.00,33.00,72.00,150.00,256.00,540.00,845.00,844.00,1549.00,1066.00,1084.00,1134.00,1162.00,1486.00,375775.00,0.00,
Benin,9.31,2.32,1573163.00,1324576.00,1268347.00,1044235.00,1078834.00,705839.00,422968.00,,889597.00,,,,,,,,,,11175192.00,14.08,
Bhutan,27.51,90.43,24.00,15.00,34.00,19.00,15.00,,194.00,436.00,972.00,329.00,793.00,1868.00,1825.00,2670.00,3806.00,6511.00,5982.00,5935.00,745563.00,0.00,
Bolivia (Plurinational state of),-16.29,-63.59,4572.00,5542.00,6874.00,7401.00,7301.00,7415.00,7143.00,13769.00,9743.00,9748.00,14610.00,19725.00,21442.00,14910.00,20343.00,14276.00,15765.00,31469.00,11192853.00,0.04,
Botswana,-22.33,24.68,1900.00,716.00,326.00,1346.00,456.00,193.00,432.00,1046.00,1024.00,927.00,390.00,2548.00,670.00,198.00,591.00,1640.00,3720.00,10510.00,2205076.00,0.09,
Brazil,-14.24,-51.93,189503.00,124178.00,138229.00,139272.00,168862.00,242758.00,267146.00,334483.00,309316.00,315746.00,458652.00,549469.00,606067.00,465004.00,408886.00,348259.00,388303.00,613241.00,207833825.00,0.09,
Burkina Faso,12.24,-1.56,10225459.00,9779154.00,7015446.00,5428655.00,3769051.00,3858046.00,428113.00,804539.00,182527.00,36514.00,44246.00,44265.00,21335.00,18256.00,,,,,19193236.00,53.28,
Burundi,-3.37,29.92,7670177.00,8274062.00,5159706.00,4585273.00,4141387.00,2151076.00,1571874.00,1763447.00,1185622.00,876741.00,1101644.00,791731.00,327464.00,363395.00,353459.00,327138.00,312015.00,308095.00,10827010.00,70.84,
Cape Verde,16.00,-24.01,423.00,48.00,7.00,26.00,22.00,1.00,7.00,47.00,65.00,35.00,18.00,80.00,68.00,45.00,68.00,76.00,107.00,144.00,546388.00,0.08,
Cambodia,12.57,104.99,36932.00,23492.00,33930.00,25152.00,21309.00,40476.00,57423.00,49356.00,64595.00,42124.00,42518.00,78696.00,49436.00,59745.00,71265.00,46902.00,53601.00,62442.00,16009413.00,0.23,
Cameroon,7.37,12.35,1191257.00,1675264.00,1162784.00,,26651.00,,15212.00,,,,,,,,,,,,24566070.00,4.85,
Central African Republic,6.61,20.94,383309.00,1032764.00,598833.00,295088.00,116300.00,46759.00,,,,,,,45973.00,46869.00,37896.00,43093.00,39164.00,33411.00,4596023.00,8.34,
Chad,15.45,18.73,1962372.00,1294768.00,787046.00,914032.00,754565.00,7710.00,181126.00,200448.00,,47757.00,48288.00,45155.00,31668.00,1360.00,45195.00,43933.00,38287.00,40078.00,15016761.00,13.07,
China,35.86,104.20,0.00,3.00,39.00,56.00,86.00,244.00,3367.00,4990.00,9287.00,16650.00,29304.00,35383.00,21936.00,27197.00,28491.00,25520.00,21237.00,8025.00,1421021794.00,0.00,
Colombia,4.57,-74.30,52805.00,82609.00,47616.00,40768.00,51696.00,60179.00,60105.00,117589.00,79347.00,80559.00,128462.00,120096.00,121629.00,142241.00,180956.00,204916.00,231233.00,144432.00,48909844.00,0.11,
Comoros,-11.65,43.33,2274.00,1066.00,1300.00,2203.00,53156.00,49840.00,24856.00,36538.00,5982.00,,,20559.00,6086.00,12874.00,867398.00,1104310.00,879032.00,801784.00,813890.00,0.28,
Congo,-0.23,15.83,127939.00,171847.00,51529.00,66323.00,43232.00,120319.00,37744.00,,92855.00,117291.00,103213.00,,67.00,293.00,1633.00,7677.00,11981.00,15751.00,5110701.00,2.50,
Costa Rica,9.75,-83.75,12.00,4.00,0.00,0.00,0.00,6.00,10.00,110.00,262.00,966.00,1223.00,2903.00,3541.00,1289.00,718.00,1021.00,1363.00,1879.00,4949955.00,0.00,
Côte dIvoire,7.54,-5.55,3274683.00,3471024.00,3375904.00,3712831.00,2506953.00,1140627.00,29976.00,62726.00,7388.00,3527.00,,,67.00,293.00,1585.00,7628.00,11936.00,15705.00,24437475.00,13.40,
Democratic Peoples Republic of Korea,40.34,127.51,4575.00,2719.00,773.00,10535.00,14407.00,21850.00,16760.00,13520.00,14632.00,16611.00,4345.00,12983.00,11315.00,27090.00,16538.00,16578.00,143674.00,90582.00,25429816.00,0.02,
Democratic Republic of the Congo,-4.04,21.76,15176927.00,15330841.00,11627473.00,9968983.00,6715223.00,4791598.00,4561981.00,2417780.00,1878705.00,1618218.00,740858.00,2050.00,2971.00,2684.00,2438.00,1735.00,1531.00,897.00,81398765.00,18.65,
Djibouti,11.83,42.59,14671.00,13804.00,9473.00,9439.00,1684.00,25.00,,1010.00,2686.00,119.00,210.00,1796.00,413.00,122.00,5036.00,,,,944100.00,1.55,
Dominican Republic,18.74,-70.16,341.00,690.00,631.00,459.00,579.00,952.00,1616.00,3414.00,1643.00,1840.00,2711.00,3525.00,3837.00,2355.00,1529.00,1296.00,1038.00,1233.00,10513111.00,0.00,
Ecuador,-1.83,-78.18,1275.00,1191.00,618.00,242.00,368.00,544.00,1219.00,1888.00,4120.00,4891.00,8464.00,9863.00,17050.00,28730.00,52065.00,86757.00,108903.00,104528.00,16785356.00,0.01,
Egypt,26.82,30.80,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96442590.00,0.00,
El Salvador,13.79,-88.90,0.00,12.00,2.00,6.00,6.00,13.00,9.00,19.00,20.00,33.00,40.00,49.00,67.00,112.00,85.00,117.00,362.00,753.00,6388124.00,0.00,
Equatorial Guinea,1.65,10.27,15725.00,147714.00,15142.00,20417.00,13129.00,15169.00,22466.00,53813.00,14184.00,9503.00,6287.00,,,,,,,,1262008.00,1.25,
Eritrea,15.18,39.78,31486.00,24251.00,19372.00,30768.00,21317.00,21815.00,34848.00,35982.00,11759.00,8764.00,15565.00,6541.00,9073.00,4119.00,10346.00,6078.00,9716.00,,3412894.00,0.92,
ESwatini,-26.52,31.47,724.00,350.00,157.00,711.00,962.00,562.00,549.00,268.00,106.00,58.00,84.00,155.00,279.00,574.00,342.00,670.00,1395.00,,1124805.00,0.06,
Ethiopia,9.15,40.49,1530739.00,1718504.00,1867059.00,2118815.00,2645454.00,1692578.00,1480306.00,1158197.00,1036316.00,458561.00,451816.00,447780.00,538942.00,578904.00,463797.00,427795.00,392377.00,,106399926.00,1.44,
Gabon,-0.80,11.61,35244.00,23915.00,23867.00,31900.00,28982.00,19753.00,,13936.00,660.00,40701.00,45186.00,33458.00,70644.00,70075.00,58212.00,62976.00,53167.00,50810.00,2064812.00,1.71,
Gambia,13.44,-15.31,69931.00,153774.00,240382.00,166229.00,240792.00,300363.00,261967.00,116353.00,50378.00,39164.00,,,,,,,,,2213900.00,3.16,
Georgia,32.17,-82.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,24.00,59.00,155.00,257.00,316.00,474.00,438.00,245.00,4008723.00,0.00,
Ghana,7.95,-1.02,4348694.00,4535167.00,4319919.00,3415912.00,1639451.00,3755166.00,1041260.00,1071637.00,1104370.00,1094483.00,476484.00,472255.00,655093.00,475441.00,,,,,29121464.00,14.93,
Guatemala,15.78,-90.23,3743.00,4853.00,6836.00,5685.00,6214.00,5346.00,6817.00,7384.00,7080.00,7198.00,15382.00,31093.00,39571.00,28955.00,31127.00,35540.00,35824.00,53311.00,16914979.00,0.02,
Guinea,9.95,-9.70,1335323.00,992146.00,810979.00,660207.00,211257.00,317200.00,95574.00,20936.00,35841.00,33405.00,44518.00,54227.00,50452.00,103069.00,107925.00,16561.00,6238.00,4800.00,12067516.00,11.07,
