Country,latLong,lat,lon,Year_2017,Year_2016,Year_2015,Year_2014,Year_2013,Year_2012,Year_2011,Year_2010,Year_2009,Year_2008,Year_2007,Year_2006,Year_2005,Year_2004,Year_2003,Year_2002,Year_2001,Year_2000
Afghanistan,"34.28, 69.11",33.93911,67.70995,161778,139087,86895,61362,39263,54840,77549,69397,64880,81574,92202,86129,116444,242022,360940,415356,50850,94475
Algeria,"36.42, 3.08",28.033886,1.659626,0,0,0,0,8,55,1,1,0,3,288,117,299,163,427,307,435,541
Angola,"-8.5, 13.15",-11.202692,17.87389,3874892,3794253,2769305,2298979,1999868,1496834,1632282,1682870,1573422,1377992,1533485,1082398,889572,,,,,
Argentina,"-36.3, -60",-38.416097,-63.616672,0,0,0,0,0,0,0,14,86,130,387,212,252,115,122,125,215,440
Armenia,"40.1, 44.31",40.069099,45.038189,0,0,0,0,0,0,0,0,0,0,0,0,7,47,29,52,79,141
Azerbaijan,"40.29, 49.56",40.143105,47.576927,0,0,0,0,0,3,4,50,78,72,108,143,242,386,482,506,1058,1526
Bangladesh,"23.43, 90.26",23.684994,90.356331,4893,4787,6608,10216,3864,9901,51773,55873,63873,84690,59866,32857,48121,58894,54654,62269,54216,55599
Belize,"17.18, -88.3",17.189877,-88.49765,7,4,9,19,20,33,72,150,256,540,845,844,1549,1066,1084,1134,1162,1486
Benin,"6.23, 2.42",9.30769,2.315834,1573163,1324576,1268347,1044235,1078834,705839,422968,,889597,,,,,,,,,
Bhutan,"27.31, 89.45",27.514162,90.433601,24,15,34,19,15,,194,436,972,329,793,1868,1825,2670,3806,6511,5982,5935
Bolivia (Plurinational state of),"-16.2, -68.1",-16.290154,-63.588653,4572,5542,6874,7401,7301,7415,7143,13769,9743,9748,14610,19725,21442,14910,20343,14276,15765,31469
Botswana,"-24.45, 25.57",-22.328474,24.684866,1900,716,326,1346,456,193,432,1046,1024,927,390,2548,670,198,591,1640,3720,10510
Brazil,"-15.47, -47.55",-14.235004,-51.92528,189503,124178,138229,139272,168862,242758,267146,334483,309316,315746,458652,549469,606067,465004,408886,348259,388303,613241
Burkina Faso,"12.15, -1.3",12.238333,-1.561593,10225459,9779154,7015446,5428655,3769051,3858046,428113,804539,182527,36514,44246,44265,21335,18256,,,,
Burundi,"-3.16, 29.18",-3.373056,29.918886,7670177,8274062,5159706,4585273,4141387,2151076,1571874,1763447,1185622,876741,1101644,791731,327464,363395,353459,327138,312015,308095
Cape Verde,"15.02, -23.34",16.002082,-24.013197,423,48,7,26,22,1,7,47,65,35,18,80,68,45,68,76,107,144
Cambodia,"11.33, 104.55",12.565679,104.990963,36932,23492,33930,25152,21309,40476,57423,49356,64595,42124,42518,78696,49436,59745,71265,46902,53601,62442
Cameroon,"3.5, 11.35",7.369722,12.354722,1191257,1675264,1162784,,26651,,15212,,,,,,,,,,,
Central African Republic,"4.23, 18.35",6.611111,20.939444,383309,1032764,598833,295088,116300,46759,,,,,,,45973,46869,37896,43093,39164,33411
Chad,"12.1, 14.59",15.4542,18.7322,1962372,1294768,787046,914032,754565,7710,181126,200448,,47757,48288,45155,31668,1360,45195,43933,38287,40078
China,"39.55, 116.2",35.86166,104.195397,0,3,39,56,86,244,3367,4990,9287,16650,29304,35383,21936,27197,28491,25520,21237,8025
Colombia,"4.34, -74",4.570868,-74.297333,52805,82609,47616,40768,51696,60179,60105,117589,79347,80559,128462,120096,121629,142241,180956,204916,231233,144432
Comoros,"-11.4, 43.16",-11.6455,43.3333,2274,1066,1300,2203,53156,49840,24856,36538,5982,,,20559,6086,12874,867398,1104310,879032,801784
Congo,"-4.09, 15.12",-0.228021,15.827659,127939,171847,51529,66323,43232,120319,37744,,92855,117291,103213,,67,293,1633,7677,11981,15751
Costa Rica,"9.55, -84.02",9.748917,-83.753428,12,4,0,0,0,6,10,110,262,966,1223,2903,3541,1289,718,1021,1363,1879
Côte dIvoire,"6.49, -5.17",7.539989,-5.54708,3274683,3471024,3375904,3712831,2506953,1140627,29976,62726,7388,3527,,,67,293,1585,7628,11936,15705
Democratic Peoples Republic of Korea,"40.33, 127.51",40.3399,127.5101,4575,2719,773,10535,14407,21850,16760,13520,14632,16611,4345,12983,11315,27090,16538,16578,143674,90582
Democratic Republic of the Congo,"-4.2, 15.15",-4.038333,21.758664,15176927,15330841,11627473,9968983,6715223,4791598,4561981,2417780,1878705,1618218,740858,2050,2971,2684,2438,1735,1531,897
Djibouti,"11.08, 42.2",11.825138,42.590275,14671,13804,9473,9439,1684,25,,1010,2686,119,210,1796,413,122,5036,,,
Dominican Republic,"18.3, -69.59",18.735693,-70.162651,341,690,631,459,579,952,1616,3414,1643,1840,2711,3525,3837,2355,1529,1296,1038,1233
Ecuador,"-0.15, -78.35",-1.831239,-78.183406,1275,1191,618,242,368,544,1219,1888,4120,4891,8464,9863,17050,28730,52065,86757,108903,104528
